Skill Code,Skill Category,Grade Level,Course Name,Skill Name
A.1,Count to 3,pre-k,Math,Learn to count - up to 3
A.2,Count to 3,pre-k,Math,Count objects - up to 3
A.3,Count to 3,pre-k,Math,Count dots - up to 3
A.4,Count to 3,pre-k,Math,Count shapes - up to 3
A.5,Count to 3,pre-k,Math,Count using stickers - up to 3
A.6,Count to 3,pre-k,Math,Count on ten frames - up to 3
A.7,Count to 3,pre-k,Math,Show numbers on ten frames - up to 3
A.8,Count to 3,pre-k,Math,Represent numbers - up to 3
B.1,Count to 5,pre-k,Math,Learn to count - up to 5
B.2,Count to 5,pre-k,Math,Count objects - up to 5
B.3,Count to 5,pre-k,Math,Count dots - up to 5
B.4,Count to 5,pre-k,Math,Count shapes - up to 5
B.5,Count to 5,pre-k,Math,Count using stickers - up to 5
B.6,Count to 5,pre-k,Math,Count on ten frames - up to 5
B.7,Count to 5,pre-k,Math,Show numbers on ten frames - up to 5
B.8,Count to 5,pre-k,Math,Represent numbers - up to 5
C.1,Count to 10,pre-k,Math,Learn to count - up to 10
C.2,Count to 10,pre-k,Math,Count objects - up to 10
C.3,Count to 10,pre-k,Math,Count dots - up to 10
C.4,Count to 10,pre-k,Math,Count shapes - up to 10
C.5,Count to 10,pre-k,Math,Count using stickers - up to 10
C.6,Count to 10,pre-k,Math,Count on ten frames - up to 10
C.7,Count to 10,pre-k,Math,Show numbers on ten frames - up to 10
C.8,Count to 10,pre-k,Math,Represent numbers - up to 10
D.1,Count to 20,pre-k,Math,Count objects - up to 20
D.2,Count to 20,pre-k,Math,Count dots - up to 20
D.3,Count to 20,pre-k,Math,Count shapes - up to 20
D.4,Count to 20,pre-k,Math,Count on ten frames - up to 20
D.5,Count to 20,pre-k,Math,Show numbers on ten frames - up to 20
D.6,Count to 20,pre-k,Math,Represent numbers - up to 20
E.1,Comparing,pre-k,Math,Are there enough?
E.2,Comparing,pre-k,Math,More
E.3,Comparing,pre-k,Math,Fewer
E.4,Comparing,pre-k,Math,Fewer and more - compare by counting
E.5,Comparing,pre-k,Math,Compare in a mixed group
E.6,Comparing,pre-k,Math,Compare numbers (larger and largest)
E.7,Comparing,pre-k,Math,Compare numbers (smaller and smallest)
F.1,Positions,pre-k,Math,Inside and outside
F.2,Positions,pre-k,Math,Left and right
F.3,Positions,pre-k,Math,"Left, middle, and right"
F.4,Positions,pre-k,Math,Top and bottom
F.5,Positions,pre-k,Math,"Top, middle, and bottom"
F.6,Positions,pre-k,Math,Above and below
F.7,Positions,pre-k,Math,Beside and next to
G.1,Classify,pre-k,Math,Different
G.2,Classify,pre-k,Math,Same
G.3,Classify,pre-k,Math,Same and different
G.4,Classify,pre-k,Math,Classify shapes by color
G.5,Classify,pre-k,Math,Classify and sort by color
G.6,Classify,pre-k,Math,Classify and sort by shape
H.1,Patterns,pre-k,Math,Color patterns
H.2,Patterns,pre-k,Math,Size patterns
H.3,Patterns,pre-k,Math,Shape patterns
H.4,Patterns,pre-k,Math,What comes next?
I.1,Size,pre-k,Math,Long and short
I.2,Size,pre-k,Math,Tall and short
I.3,Size,pre-k,Math,Light and heavy
I.4,Size,pre-k,Math,Holds more or less
I.5,Size,pre-k,Math,Wide and narrow
I.6,Size,pre-k,Math,Compare size and weight
J.1,Money,pre-k,Math,Pennies and nickels
J.2,Money,pre-k,Math,Dimes and quarters
J.3,Money,pre-k,Math,"Pennies, nickels, dimes, and quarters"
J.4,Money,pre-k,Math,Count pennies
K.1,Flat shapes,pre-k,Math,Name the shape
K.2,Flat shapes,pre-k,Math,Circles
K.3,Flat shapes,pre-k,Math,Squares
K.4,Flat shapes,pre-k,Math,Triangles
K.5,Flat shapes,pre-k,Math,Rectangles
K.6,Flat shapes,pre-k,Math,"Circles, squares, and triangles"
L.1,Solid shapes,pre-k,Math,Flat and solid shapes
L.2,Solid shapes,pre-k,Math,Name the solid shape
L.3,Solid shapes,pre-k,Math,Spheres
L.4,Solid shapes,pre-k,Math,Cubes
L.5,Solid shapes,pre-k,Math,Cones
L.6,Solid shapes,pre-k,Math,Cylinders
L.7,Solid shapes,pre-k,Math,Select solid shapes
